,user_id_fors,user_id_motion_tag,N_KT,ID_Agglo,N_Agglo,ID_Gem,first_activity_date,last_activity_da,days_in_range,active_days_count,days_without_event,days_without_track,operating_system,os_version,handset,home_geometry_from_gps
0,CH01,be168a66-975b-4558-98e8-524c04352039,VD,6153,Monthey,5401,2023-05-02,2023-06-05,35,35,0,0,ios,iOS 16.2,"iPhone14,8",POINT (6.968259622889253 46.31981664846375)
1,CH02,76d81957-5f75-422c-8805-84e0506cd985,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,5,ios,iOS 16.2,"iPhone13,4",POINT (6.63443620228955 46.78711471679868)
2,CH10003,18123160-132f-4293-a11f-45c93ed1855a,VD,6153,Monthey,5401,2023-04-24,2023-05-31,38,38,0,1,android,13,Google Pixel 7 Pro,POINT (6.23072402880505 46.39194933366811)
3,CH10039,f7d0f86c-4e05-46f6-a3bf-cc0e501160aa,VD,6153,Monthey,5401,2023-05-03,2023-06-01,30,30,0,4,ios,iOS 16.5,"iPhone14,3",POINT (6.6341462264638835 46.788404992373685)
4,CH10068,719ee58e-5e33-4c7f-bf58-e6dcef0d4ca3,VD,6153,Monthey,5401,2023-05-15,2023-06-05,22,22,0,0,ios,iOS 16.5,"iPhone13,4",POINT (6.846109669833527 46.45921134334665)
5,CH1007,00284b1d-cc9c-46a7-9877-d5ab9aad7fd4,,99,,99,2023-05-02,2023-05-30,29,29,0,6,android,13,samsung SM-S906B,POINT (8.312365423772384 46.19074419817562)
6,CH10074,a28db47e-e533-428d-ad45-add76bc360e9,VD,6153,Monthey,5401,2023-04-24,2023-06-02,40,40,0,31,android,13,samsung SM-A528B,POINT (6.3737342875 46.5986189625)
7,CH101,6c3b31bf-998b-40e9-853e-dd32b170305d,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.3.1,"iPhone14,5",POINT (6.5546948294829805 46.54890435853587)
8,CH10121,8de1c46f-7696-4369-a333-2c1585c60d80,VD,6153,Monthey,5401,2023-05-18,2023-06-05,19,19,0,0,ios,iOS 16.5,"iPhone11,6",POINT (6.842488277492386 46.46362228924103)
9,CH10148,b3e592fa-bf7e-4c1f-8038-0e06092b45a8,VD,6153,Monthey,5401,2023-05-02,2023-05-28,27,27,0,0,android,11,samsung SM-F711B,POINT (6.927558420273593 46.39784790369221)
10,CH10160,17240c6c-2ff4-4827-8d0e-f2eaf0746254,VD,6153,Monthey,5401,2023-04-28,2023-05-31,34,34,0,0,android,10,samsung SM-A415F,POINT (6.706425343984873 46.68759882943354)
11,CH10177,669e2fae-8eeb-42c2-afb8-81d6f0a7c1ef,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,android,13,samsung SM-A515F,POINT (6.637602858309965 46.51131836859744)
12,CH10203,441e34bb-bac2-4472-b018-af2042640c76,VD,6153,Monthey,5401,2023-05-08,2023-06-05,29,29,0,12,android,10,HUAWEI CLT-L29,POINT (6.621607300663265 46.56221199061225)
13,CH1021,42474956-d825-4068-bbbf-026b6c5c611c,,99,,99,2023-05-12,2023-05-12,1,1,0,0,android,9,samsung SM-G950F,
14,CH10223,c0d9bce6-d1f8-4eab-a72c-22e7f2abd1ff,,99,,99,2023-05-02,2023-06-05,35,35,0,0,ios,iOS 16.4.1,"iPhone14,2",POINT (3.4419192437162165 41.59301444768757)
15,CH10243,f0dcfe34-a256-4d44-a3b1-2e533fdd9f0b,VD,6153,Monthey,5401,2023-05-06,2023-06-05,31,31,0,1,android,13,samsung SM-A536B,POINT (6.622031479022366 46.53333305287762)
16,CH10296,385cebcf-edf5-4e34-8703-2409b0e8b9e8,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,0,ios,iOS 16.2,"iPhone14,2",POINT (6.927456467989217 46.458485412044496)
17,CH10317,ba39fdc0-af76-4157-a274-b1039e619ab5,,99,,99,2023-04-27,2023-06-01,36,36,0,4,android,12,samsung SM-G970F,POINT (6.142216424523811 46.68477577773808)
18,CH10328,38c551bb-5b7c-4ac1-b9a8-082ef59a2155,VD,6153,Monthey,5401,2023-05-11,2023-06-05,26,26,0,10,ios,iOS 16.5,"iPhone12,3",POINT (6.63109394015847 46.54435754888775)
19,CH10342,d46d2519-879a-4b42-9385-5c370103627e,VD,6153,Monthey,5401,2023-04-24,2023-06-02,40,40,0,25,android,13,samsung SM-A525F,POINT (6.6578905972502085 46.83474108234817)
20,CH10358,5f25b8e6-573f-4115-ab17-4d3cb56b001d,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.3.1,"iPhone12,3",POINT (6.627424385807712 46.52769224812635)
21,CH10361,12d0ecf6-a8d8-417f-b405-848fbd7d57e0,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,1,ios,iOS 16.1.1,"iPhone12,1",POINT (6.607043505345735 46.52862304901522)
22,CH1037,0c9d9e1c-3f65-4763-9766-3d2d4fbd2deb,VD,6153,Monthey,5401,2023-04-24,2023-06-05,43,43,0,0,ios,iOS 16.5,"iPhone14,2",POINT (6.62685274052352 46.5419383584748)
23,CH10387,e2d5fd7b-cc9c-4f1b-96fb-49736a469803,GE,6621,Genève,6601,2023-04-24,2023-05-27,34,34,0,0,ios,iOS 16.4.1,"iPhone12,8",POINT (6.150605702438523 46.19129988045323)
24,CH1042,6ee321b2-988b-4361-941e-eed683cb61dd,VD,6153,Monthey,5401,2023-04-25,2023-06-05,42,42,0,1,ios,iOS 16.5,"iPhone13,2",POINT (6.4950635557840775 46.510551284610735)
25,CH10443,a964a8d4-c1ca-4657-a7ad-a1ea1a3f0516,GE,6621,Genève,6601,2023-05-02,2023-06-05,35,35,0,0,ios,iOS 16.5,"iPhone14,3",POINT (6.145373512569283 46.193487911983055)
26,CH10488,5e786384-b778-490d-9142-47696a3740a9,,99,,99,2023-04-25,2023-05-30,36,36,0,4,ios,iOS 16.4.1,"iPhone14,7",POINT (8.38707411296834 44.18170231167226)
27,CH10497,9b4bad52-31ad-41bf-9c10-bcd92db26218,GE,6621,Genève,6601,2023-04-24,2023-06-05,43,43,0,7,android,13,OPPO CPH2251,POINT (6.133305113259611 46.186598120347966)
28,CH1050,421799b7-8091-4500-8cb6-3cb4436e39d8,,99,,99,2023-05-02,2023-05-02,1,1,0,0,android,13,samsung SM-A528B,
29,CH10507,0fc96ab8-bc46-4f1b-a035-79e168337dfa,VD,6153,Monthey,5401,2023-04-24,2023-05-28,35,35,0,8,android,12,samsung SM-G991B,POINT (6.926659013248911 46.39547265743463)
